window,train_start,train_end,test_start,test_end,model_accuracy,test_accuracy,model_path,test_predictions_count
1,2022-01-01,2022-12-27,2022-12-28,2023-01-27,0.0,0.0,models/walk_forward/wf_model_20220101_20221227.pkl,0
2,2022-01-31,2023-01-26,2023-01-27,2023-02-26,0.0,0.0,models/walk_forward/wf_model_20220131_20230126.pkl,0
3,2022-03-02,2023-02-25,2023-02-26,2023-03-28,0.0,0.0,models/walk_forward/wf_model_20220302_20230225.pkl,0
4,2022-04-01,2023-03-27,2023-03-28,2023-04-27,0.0,0.0,models/walk_forward/wf_model_20220401_20230327.pkl,0
5,2022-05-01,2023-04-26,2023-04-27,2023-05-27,0.0,0.0,models/walk_forward/wf_model_20220501_20230426.pkl,0
6,2022-05-31,2023-05-26,2023-05-27,2023-06-26,0.0,0.0,models/walk_forward/wf_model_20220531_20230526.pkl,0
7,2022-06-30,2023-06-25,2023-06-26,2023-07-26,0.0,0.0,models/walk_forward/wf_model_20220630_20230625.pkl,0
8,2022-07-30,2023-07-25,2023-07-26,2023-08-25,0.0,0.0,models/walk_forward/wf_model_20220730_20230725.pkl,0
9,2022-08-29,2023-08-24,2023-08-25,2023-09-24,0.0,0.0,models/walk_forward/wf_model_20220829_20230824.pkl,0
10,2022-09-28,2023-09-23,2023-09-24,2023-10-24,0.0,0.0,models/walk_forward/wf_model_20220928_20230923.pkl,0
11,2022-10-28,2023-10-23,2023-10-24,2023-11-23,0.0,0.0,models/walk_forward/wf_model_20221028_20231023.pkl,0
12,2022-11-27,2023-11-22,2023-11-23,2023-12-23,0.0,0.0,models/walk_forward/wf_model_20221127_20231122.pkl,0
13,2022-12-27,2023-12-22,2023-12-23,2024-01-22,0.0,0.0,models/walk_forward/wf_model_20221227_20231222.pkl,0
14,2023-01-26,2024-01-21,2024-01-22,2024-02-21,0.0,0.0,models/walk_forward/wf_model_20230126_20240121.pkl,0
15,2023-02-25,2024-02-20,2024-02-21,2024-03-22,0.0,0.0,models/walk_forward/wf_model_20230225_20240220.pkl,0
16,2023-03-27,2024-03-21,2024-03-22,2024-04-21,0.0,0.0,models/walk_forward/wf_model_20230327_20240321.pkl,0
17,2023-04-26,2024-04-20,2024-04-21,2024-05-21,0.0,0.0,models/walk_forward/wf_model_20230426_20240420.pkl,0
18,2023-05-26,2024-05-20,2024-05-21,2024-06-20,0.0,0.0,models/walk_forward/wf_model_20230526_20240520.pkl,0
19,2023-06-25,2024-06-19,2024-06-20,2024-06-30,0.0,0.0,models/walk_forward/wf_model_20230625_20240619.pkl,0
